Country name,Region,Currency,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Source
Pakistan,Asia and the Pacific,PKR,4994,5768,6612,7922,8940,10093,,12569,13636,15495,,18827,19193,21545,,24068,ILOSTAT
Philippines,Asia and the Pacific,PHP,6831,6955,7275,7583,7995,8280,8707,9107,9582,9752,10325,10691,11407,,,,National Statistical Office of the Phillippines
Singapore,Asia and the Pacific,SGD,3554,3773,3977,3872,4089,4334,4433,4622,4727,4892,5074,5229,5410,5549,5629,5832,Statistics Singapore
Sri Lanka,Asia and the Pacific,LKR,10588,14124,12679,13690,15163,16205,,,23858,24674,26108,28255,29721,,,,Department of Census and Statistics
Taiwan (China),Asia and the Pacific,TWD,43492,44411,44418,42299,44646,45961,46109,46174,47832,49024,49266,50480,52407,53457,54160,55792,National Statistics Republic of China (Taiwan)
Thailand,Asia and the Pacific,THB,7851,8085,8913,8694,9262,9935,11101,12003,13244,13487,13729,13721,13908,14230,14500,14634,National Statistical Office of Thailand
Viet Nam,Asia and the Pacific,VND,,,,,,3110500,3762200,4126000,4475000,4656000,4985000,5370500,5767750,6714500,6646775,6534775,General Statistics Office of Vietnam
Australia,Asia and the Pacific,AUD,3590,3752,3888,4059,4275,4439,4625,4808,4879,4946,5036,5135,5270,5406,5601,5709,Australian Bureau of Statistics
Austria,Europe and Central Asia,EUR,3440,3540,3650,3740,3780,3870,3990,4080,4190,4280,4390,4460,4570,4690,4770,4920,Statistics Austria
Belgium,Europe and Central Asia,EUR,2766,2837,2936,3027,3103,3192,3258,3300,3414,3445,3489,3558,3627,3758,3832,,"Statbel, the Belgian statistical office"
Bulgaria,Europe and Central Asia,BGN,360,431,545,609,648,686,731,775,822,878,948,1037,1146,1267,1391,1551,Bulgarian National Statistical Institute
Canada,Americas,CAD,3272,3413,3511,3564,3693,3785,3880,3949,4053,4126,4145,4229,4338,4456,4757,4899,Statistics Canada
Cyprus,Europe and Central Asia,EUR,1636,1699,1801,1870,1915,1968,1991,1948,1893,1883,1878,1891,1938,1979,1998,2044,Statistical Service of Cyprus
Czech Republic,Europe and Central Asia,CZK,22908,24604,26349,26677,26881,25625,26033,26211,26802,27811,29061,31109,33684,36380,38628,40777,Czech Statistical Office 
Denmark,Europe and Central Asia,DKK,,,,35382,36522,37349,38106,38525,38958,39575,40102,40954,41736,42592,43577,,Statistics Denmark 
Estonia,Europe and Central Asia,EUR,601,725,825,784,792,839,887,949,1005,1065,1146,1221,1310,1407,1448,1548,Statistics Estonia
Finland,Europe and Central Asia,EUR,2634,2734,2876,2971,3040,3109,3206,3284,3308,3333,3368,3395,3465,3527,3599,3734,Statistics Finland
France,Europe and Central Asia,EUR,2355,2416,2479,2511,2586,2630,2682,2713,2742,2533,2572,2628,2677,2723,,,Eurostat 
Germany,Europe and Central Asia,EUR,2243,2277,2334,2335,2396,2479,2550,2606,2683,2761,2829,2902,2994,3083,3079,3177,Federal Statistical Office of Germany
Greece,Europe and Central Asia,EUR,1569,1622,1665,1751,1689,1613,1536,1406,1389,1357,1344,1346,,,,,Eurostat 
Hungary,Europe and Central Asia,HUF,171351,185018,198741,199837,202525,213094,223060,230714,237695,247924,263171,297017,329939,367833,403708,438661,Hungarian Central Statistic Office
Iceland,Europe and Central Asia,ISK,272000,303000,324000,334000,348000,365000,390000,428000,564000,612000,663000,707000,726000,754000,793000,823000,Statistics Iceland
Ireland,Europe and Central Asia,EUR,,,3066,3074,3030,2994,3012,2998,3008,3043,3077,3137,3239,3357,3532,3698,Central Statistics Office of Ireland
Israel,Europe and Central Asia,ILS,7180,7662,7922,7947,8100,8325,8775,9030,9317,9503,9724,10095,10584,10291,10412,,Israel Central Bureau of Statistics
Italy,Europe and Central Asia,EUR,1972,2013,2071,2075,2120,2141,2117,2136,2144,2171,2188,2196,2231,2253,2156,2292,Italy National Bureau of Statistics
Japan,Asia and the Pacific,JPY,330900,330600,328800,318100,323000,323800,325600,324000,329600,333300,333700,333800,336700,338000,330600,334800,Japan Ministry of Health Labour and Welfare
Latvia,Europe and Central Asia,EUR,430,566,682,655,633,660,685,716,765,818,859,926,1004,1076,1143,1277,Statistics Latvia
Lithuania,Europe and Central Asia,EUR,558,673,803,768,742,766,788,833,873,921,998,1087,1201,1307,1440,1590,Statistics Lithuania
